"","city","squareMeters","rooms","floor","buildYear","centreDistance","schoolDistance","clinicDistance","kindergartenDistance","pharmacyDistance","hasParkingSpace","hasBalcony","hasElevator","hasStorageRoom","priceInZloty","priceInEuro"
"234","krakow",48,2,7,2015,5.7,0.383,2.014,0.475,0.183,"yes","no","yes","no",3000,690
"235","krakow",37,2,1,2022,1.51,0.13,0.566,0.096,0.278,"yes","no","yes","no",3500,805
"236","krakow",45,2,1,2022,2.59,0.487,0.099,0.427,0.412,"no","yes","yes","no",3400,782
"237","krakow",60,3,7,2005,3.52,0.234,0.209,0.117,0.123,"no","yes","yes","yes",3300,759
"238","krakow",26,1,4,2011,2.25,0.133,0.783,0.583,0.38,"no","no","yes","no",2000,460
"239","krakow",37,2,3,2022,6.05,0.337,0.887,0.144,0.266,"no","yes","yes","no",2600,598
"240","krakow",44,3,4,1960,6.86,0.291,0.753,0.078,0.145,"yes","yes","yes","no",2300,529
"241","krakow",40,2,2,2012,5.79,1.121,1.977,0.47,0.766,"no","no","no","no",2200,506
"242","krakow",46,2,1,2024,3.79,0.812,0.432,0.431,0.673,"yes","yes","yes","yes",3000,690
"243","krakow",46,2,2,2015,2.15,0.19,0.34,0.242,0.201,"yes","yes","yes","no",3100,713
"244","krakow",40,2,3,2009,4.08,0.204,0.714,0.186,0.29,"no","no","yes","no",3000,690
"245","krakow",36,2,5,1989,7.42,0.204,0.46,0.236,0.228,"yes","yes","yes","no",2000,460
"246","krakow",51,2,7,2021,1.5,0.15,0.195,0.108,0.36,"no","no","yes","no",5500,1265
"247","krakow",76.2,4,1,2015,0.39,0.128,0.597,0.19,0.212,"yes","yes","yes","no",6800,1564
"248","krakow",53.08,2,2,2007,0.61,0.192,0.388,0.581,0.149,"yes","yes","yes","no",3500,805
